VEH_SER_NO,PREPAINT_CAB,OFFLINE,CHASSIS_LINE_2,CHASSIS_LINE_1,PREPAINT_CHASSIS,FINAL_CAB,PAINT_MGR
YLB740,0,1,0,4,0,0,0
YLV153,2,0,0,0,0,0,0
YNQ647,0,5,0,0,0,0,0
YPV702,0,3,2,18,5,2,0
YRW680,0,1,0,8,3,2,0
YTG326,0,7,0,2,0,0,0
YTP390,0,2,0,5,1,2,0
YWI795,0,3,0,12,7,3,0
YXF326,1,0,2,9,2,1,0
YXJ367,0,1,0,0,0,0,0
YZU059,0,1,0,1,4,1,0
ZAS503,5,0,0,0,0,0,0
ZCG765,4,0,0,0,0,0,0
ZDI213,0,6,0,8,0,1,0
ZHB578,0,3,0,6,9,1,0
ZIQ738,0,2,4,12,3,1,0
ZIR953,4,0,0,0,0,0,0
ZJC386,0,0,0,0,2,2,0
ZJK473,0,0,0,0,5,3,0
ZKY831,0,3,0,2,2,0,0
ZOT736,4,0,0,0,0,0,0
ZPW452,0,7,2,3,4,3,0
ZVI392,0,2,3,5,1,1,0
ZXO621,1,0,0,0,0,0,0
ZYA587,0,3,0,7,4,3,0
